Combined,NA
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Not fleeing,Armed,Asian,False,attack,Not fleeing,False,>40
Not fleeing,Armed,Black,False,other,Not fleeing,True,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Fleeing,Armed,Native,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Fleeing,Armed,Black,False,undetermined,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,<40
Fleeing,Armed,Black,False,undetermined,Fleeing,False,>40
Not fleeing,Armed,White,True,other,Not fleeing,False,>40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Not fleeing,Armed,Native,False,other,Not fleeing,False,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,True,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,<40
Fleeing,Unarmed,White,False,other,Fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Fleeing,Armed,Black,False,other,Fleeing,False,<40
Not fleeing,Armed,Black,False,other,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,True,attack,Fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,<40
Not fleeing,Armed,Black,True,attack,Not fleeing,True,>40
Fleeing,Unarmed,Black,False,attack,Fleeing,True,<40
Fleeing,Armed,White,True,undetermined,Fleeing,False,>40
Not fleeing,Unarmed,Asian,True,other,Not fleeing,True,<40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,<40
Not fleeing,Armed,Black,False,other,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Fleeing,Unarmed,White,False,other,Fleeing,False,<40
Fleeing,Unarmed,Hispanic,False,other,Fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Fleeing,Unarmed,White,False,undetermined,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Fleeing,Unarmed,Black,False,other,Fleeing,False,>40
Fleeing,Armed,Native,False,attack,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,undetermined,Not fleeing,False,<40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,True,other,Not fleeing,False,>40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,undetermined,Not fleeing,False,>40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,<40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,undetermined,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,True,attack,Not fleeing,False,>40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Fleeing,Armed,Black,False,other,Fleeing,True,<40
Fleeing,Armed,Black,False,other,Fleeing,False,<40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,<40
Fleeing,Armed,White,False,undetermined,Fleeing,True,<40
Fleeing,Unarmed,Black,False,other,Fleeing,True,>40
Not fleeing,Armed,Hispanic,True,other,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,>40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Unarmed,Black,True,attack,Not fleeing,True,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Fleeing,Armed,Native,False,undetermined,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Not fleeing,Armed,Asian,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,False,other,Fleeing,False,<40
Not fleeing,Armed,Native,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,>40
Fleeing,Armed,Black,False,other,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Fleeing,Unarmed,Black,False,other,Fleeing,False,<40
Not fleeing,Armed,Black,False,other,Not fleeing,False,>40
Not fleeing,Armed,White,True,other,Not fleeing,False,<40
Not fleeing,Unarmed,White,False,other,Not fleeing,False,<40
Fleeing,Armed,Hispanic,True,other,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,>40
Not fleeing,Armed,White,True,attack,Not fleeing,True,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Fleeing,Armed,Native,False,attack,Fleeing,True,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Not fleeing,Unarmed,White,False,other,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,undetermined,Fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,True,attack,Not fleeing,True,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Asian,False,other,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Native,False,other,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,False,other,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Unarmed,Black,False,other,Fleeing,False,>40
Fleeing,Armed,Black,False,other,Fleeing,False,<40
Not fleeing,Armed,Hispanic,True,other,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Unarmed,White,True,other,Not fleeing,False,>40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,>40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Not fleeing,Armed,Asian,True,other,Not fleeing,True,<40
Fleeing,Armed,Black,False,other,Fleeing,False,<40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,>40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Not fleeing,Armed,Black,False,other,Not fleeing,False,>40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,Black,False,other,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,True,other,Not fleeing,True,>40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,>40
Fleeing,Armed,White,False,undetermined,Fleeing,False,<40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Unarmed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Fleeing,Armed,Black,True,attack,Fleeing,False,<40
Fleeing,Armed,Black,False,other,Fleeing,False,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,<40
Not fleeing,Unarmed,White,False,other,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Unarmed,Black,True,other,Not fleeing,False,>40
Fleeing,Armed,White,True,other,Fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,>40
Not fleeing,Armed,White,True,other,Not fleeing,False,<40
Not fleeing,Armed,White,True,other,Not fleeing,False,<40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,<40
Not fleeing,Unarmed,White,False,other,Not fleeing,False,<40
Fleeing,Armed,White,True,other,Fleeing,False,>40
Fleeing,Armed,Hispanic,False,attack,Fleeing,True,<40
Fleeing,Armed,White,False,other,Fleeing,False,>40
Fleeing,Armed,Black,False,attack,Fleeing,True,<40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,<40
Fleeing,Unarmed,Black,True,other,Fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,>40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Unarmed,Hispanic,False,other,Not fleeing,False,>40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Fleeing,Armed,Hispanic,True,other,Fleeing,False,>40
Fleeing,Armed,Black,False,attack,Fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,Black,True,other,Not fleeing,False,>40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Armed,Black,False,attack,Fleeing,True,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,>40
Fleeing,Armed,Black,False,other,Fleeing,True,>40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,>40
Not fleeing,Unarmed,White,False,other,Not fleeing,False,>40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,<40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,<40
Fleeing,Unarmed,White,True,attack,Fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Fleeing,Armed,Black,False,other,Fleeing,False,<40
Fleeing,Armed,White,True,other,Fleeing,False,<40
Not fleeing,Armed,White,True,other,Not fleeing,True,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Fleeing,Unarmed,White,False,other,Fleeing,False,>40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Fleeing,Armed,Black,False,other,Fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,<40
Not fleeing,Unarmed,White,False,other,Not fleeing,False,>40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,<40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,>40
Not fleeing,Armed,Hispanic,True,other,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Fleeing,Armed,Black,False,other,Fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,True,>40
Fleeing,Armed,White,False,undetermined,Fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,True,>40
Not fleeing,Armed,Black,True,other,Not fleeing,False,>40
Not fleeing,Armed,White,True,other,Not fleeing,False,>40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Fleeing,Unarmed,Black,False,attack,Fleeing,False,<40
Not fleeing,Armed,Asian,False,other,Not fleeing,False,>40
Fleeing,Armed,White,False,other,Fleeing,False,>40
Not fleeing,Armed,Black,True,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Fleeing,Armed,White,True,attack,Fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,>40
Fleeing,Armed,Native,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,True,undetermined,Fleeing,False,>40
Fleeing,Armed,White,True,undetermined,Fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,<40
Fleeing,Armed,Hispanic,True,attack,Fleeing,False,<40
Fleeing,Armed,Black,False,other,Fleeing,True,>40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Fleeing,Unarmed,Black,False,other,Fleeing,False,<40
Fleeing,Armed,Black,False,other,Fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,<40
Fleeing,Unarmed,Black,False,other,Fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,True,>40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,True,other,Not fleeing,True,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,True,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,>40
Fleeing,Armed,Black,False,other,Fleeing,False,>40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,>40
Not fleeing,Armed,Black,False,attack,Not fleeing,True,>40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,True,other,Fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,True,>40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,>40
Not fleeing,Armed,Black,True,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Unarmed,White,False,other,Not fleeing,False,>40
Not fleeing,Armed,Hispanic,True,other,Not fleeing,False,>40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Fleeing,Armed,Native,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,<40
Not fleeing,Armed,Asian,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Black,True,attack,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,>40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,>40
Fleeing,Armed,Black,True,other,Fleeing,True,<40
Fleeing,Armed,White,True,attack,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Fleeing,Armed,Black,True,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,<40
Not fleeing,Unarmed,Black,True,attack,Not fleeing,False,<40
Not fleeing,Unarmed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,True,other,Fleeing,False,<40
Not fleeing,Armed,White,True,other,Not fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,>40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,>40
Fleeing,Unarmed,Black,False,other,Fleeing,True,<40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,>40
Fleeing,Armed,Native,False,attack,Fleeing,False,>40
Not fleeing,Armed,White,False,other,Not fleeing,False,>40
Fleeing,Unarmed,Asian,False,other,Fleeing,False,<40
Not fleeing,Armed,Black,False,other,Not fleeing,True,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,>40
Not fleeing,Armed,Native,True,attack,Not fleeing,True,<40
Not fleeing,Armed,White,True,other,Not fleeing,False,>40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Not fleeing,Armed,Asian,False,attack,Not fleeing,False,<40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,<40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,<40
Not fleeing,Unarmed,Black,True,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,>40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Unarmed,White,False,attack,Not fleeing,False,>40
Fleeing,Armed,Native,False,other,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,True,>40
Fleeing,Unarmed,White,True,attack,Fleeing,True,<40
Not fleeing,Armed,White,False,undetermined,Not fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,True,other,Not fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Fleeing,Armed,White,True,other,Fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,>40
Fleeing,Armed,Hispanic,True,attack,Fleeing,True,>40
Fleeing,Armed,Black,True,attack,Fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,True,<40
Not fleeing,Armed,Black,False,other,Not fleeing,False,>40
Not fleeing,Armed,White,False,other,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,other,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,>40
Not fleeing,Armed,Black,False,other,Not fleeing,False,>40
Not fleeing,Armed,Black,True,attack,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,True,other,Not fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,>40
Not fleeing,Armed,White,True,undetermined,Not fleeing,True,>40
Not fleeing,Armed,Black,True,other,Not fleeing,False,<40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,<40
Not fleeing,Armed,Black,True,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,Black,False,other,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Fleeing,Armed,Asian,False,attack,Fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,True,>40
Not fleeing,Armed,Hispanic,True,other,Not fleeing,False,>40
Not fleeing,Armed,Hispanic,True,attack,Not fleeing,False,<40
Not fleeing,Armed,Asian,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,True,other,Fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,<40
Fleeing,Unarmed,Black,False,other,Fleeing,True,<40
Fleeing,Armed,Black,False,other,Fleeing,True,<40
Not fleeing,Armed,White,False,other,Not fleeing,True,>40
Fleeing,Armed,White,False,other,Fleeing,True,<40
Not fleeing,Armed,White,False,other,Not fleeing,True,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,True,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,>40
Fleeing,Armed,Black,True,other,Fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,True,>40
Not fleeing,Armed,White,False,other,Not fleeing,True,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,Black,True,attack,Not fleeing,False,<40
Not fleeing,Armed,White,True,undetermined,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,>40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,<40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,>40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,True,attack,Not fleeing,True,<40
Not fleeing,Armed,Native,False,other,Not fleeing,False,<40
Fleeing,Armed,Black,True,attack,Fleeing,False,>40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,True,<40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Native,True,other,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,True,other,Fleeing,False,>40
Not fleeing,Unarmed,Black,False,other,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,other,Fleeing,False,>40
Fleeing,Armed,Black,False,other,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,<40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,>40
Fleeing,Armed,Black,False,attack,Fleeing,True,<40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,False,other,Fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,True,>40
Not fleeing,Armed,Asian,True,other,Not fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,>40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Unarmed,White,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
